RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260202;201457835087;$$;S;1;GLB;92910.4565;154679.7566;31883665.9681;1268.2847;40437565727;20320;0;N;1558614.309;0;13820.9091;13336.3754;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260202;201457835087;$$;S;1;G;529.4224;446.5866;720227.1403;36118.8895;26013804495;19045;2;N;927126.5852;0;8853.6361;8543.2452;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260202;201457835087;$$;S;1;I2;0;0;7706213.129;1223.7402;9430402796;4;0;N;180860.5019;0;3207.537;3095.0871;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260203;200920808118;$$;S;1;I;0;0;8972.3185;1421.3345;12752666;1;0;N;244.5764;0;4.3492;4.1966;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260203;200920808118;$$;S;1;H;13096.6206;25797.7223;6591606.0037;1832.7111;12080509490;396;0;N;348891.6546;0;4136.0578;3991.0558;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260203;200920808118;$$;S;1;GLB;109401.2457;90764.7204;31902302.4934;1268.3953;40464730542;20321;0;N;1556547.3069;0;13839.4746;13354.2902;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260203;200920808118;$$;S;1;G;0;80.1152;720147.0251;36122.1376;26013249933;19045;2;N;926635.387;0;8872.5988;8561.5431;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260203;200920808118;$$;S;1;B;34.0741;544.5685;3821952.2796;1761.0272;6730561921;1195;0;N;239761.3462;0;2295.7317;2215.2479;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260203;200920808118;$$;S;1;I2;0;0;7706213.129;1223.8704;9431406145;4;0;N;180879.7462;0;3216.453;3103.6906;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260203;200920808118;$$;S;1;PAT;3557.4066;20159.9362;21279740.6569;1461.2059;31094082598;347;0;N;724811.6579;0;10614.305;10242.1884;0;0;;
