RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250701;224244506451;$$;S;1;B;0;524.355;4821730.1141;1724.5928;8315521038;1288;0;N;296211.9958;0;3928.4856;1922.8876;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250701;224244506451;$$;S;1;G;.015;814.5078;859716.4083;35374.8058;30412300987;19604;2;N;1084242.6776;0;14379.6733;7038.4617;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250701;224244506451;$$;S;1;GLB;138414.2713;111836.6177;31914837.5631;1242.8924;39666709054;20391;0;N;1526852.9767;0;18803.3426;9203.7283;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250701;224244506451;$$;S;1;H;0;111019.9469;7926253.1992;1792.128;14204860293;469;0;N;414368.4576;0;6803.9837;3330.3662;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250701;224244506451;$$;S;1;I;0;0;8972.3185;1386.972;12444355;1;0;N;238.6634;0;5.8783;2.8773;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250701;224244506451;$$;S;1;I2;0;0;4694633.7043;1194.2816;5606714652;3;0;N;107528.0952;0;2648.4378;1296.3388;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250701;224244506451;$$;S;1;INV;112626.7484;366428.5802;35726811.7419;1748.0503;62452263983;3028;0;N;2245415.7223;0;29779.6288;14576.3239;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250701;224244506451;$$;S;1;K;0;0;5063446.7916;1270.9136;6435203390;93;0;N;132232.928;0;3039.7945;1487.8973;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250701;224244506451;$$;S;1;O;61694.2416;0;2141893.0181;1324.9765;2837957914;14;1;N;0;0;1340.5376;656.1569;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250701;224244506451;$$;S;1;P;24.9573;0;6109948.6362;1258.6512;7690294183;1;1;N;221234.0097;0;3632.691;1778.1042;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250701;224244506451;$$;S;1;PAT;243088.4084;713589.6945;31499164.2105;1427.1518;44954088902;318;0;N;1062703.471;0;21555.5469;10550.858;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250702;224243988005;$$;S;1;B;1229.8341;46707.3114;4776252.6368;1724.7738;8237955410;1284;0;N;296286.4358;0;3929.482;1923.3752;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250702;224243988005;$$;S;1;G;0;440.6725;859275.7358;35378.5194;30399903289;19599;2;N;1083330.139;0;14367.6042;7032.5542;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250702;224243988005;$$;S;1;GLB;93999.8764;63545.9645;31945291.475;1243.0195;39708620237;20388;0;N;1526158.5788;0;18794.8346;9199.5639;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250702;224243988005;$$;S;1;H;109.3377;127551.4689;7798811.068;1792.3284;13978030563;467;0;N;408696.0591;0;6710.8578;3284.7835;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250702;224243988005;$$;S;1;I;0;0;8972.3185;1387.1404;12445865;1;0;N;238.6924;0;5.879;2.8776;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250702;224243988005;$$;S;1;I2;0;0;4694633.7043;1194.4266;5607395374;3;0;N;107541.1526;0;2648.7656;1296.4992;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250702;224243988005;$$;S;1;INV;141722.2908;97176.9714;35771357.0613;1748.2338;62536695486;3030;0;N;2233464.7274;0;29621.1986;14498.7766;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250702;224243988005;$$;S;1;K;0;0;5063446.7916;1271.0662;6435976072;93;0;N;132248.7983;0;3040.1664;1488.0793;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250702;224243988005;$$;S;1;O;251.409;75462.4262;2066682.0009;1325.1628;2738690107;14;1;N;0;0;1340.8865;656.3277;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250702;224243988005;$$;S;1;P;0;9818.688;6100129.9482;1258.792;7678794778;1;1;N;221258.7457;0;3633.1057;1778.3071;0;0;;
