RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260101;192897870711;$$;S;1;I;0;0;8972.3185;1416.3524;12707965;1;0;N;243.7191;0;3.9468;3.9715;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260101;192897870711;$$;S;1;I2;0;0;10736841.4932;1219.5803;13094440369;4;0;N;251131.0656;0;4066.8256;4092.2857;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260101;192897870711;$$;S;1;INV;0;62388.8956;26802295.7785;1779.6886;47699740251;2901;0;N;1702910.0912;0;14849.1473;14942.1094;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260101;192897870711;$$;S;1;K;0;0;3677453.7925;1297.5088;4771528657;81;0;N;98047.1265;0;1481.9268;1491.2043;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260101;192897870711;$$;S;1;O;0;0;911782.9479;1357.827;1238043505;14;6;N;0;0;384.4999;386.907;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260101;192897870711;$$;S;1;P;0;7897.1305;6307022.3043;1283.048;8092212353;1;1;N;233087.8499;0;2516.4221;2532.1759;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260101;192897870711;$$;S;1;PAT;0;22748.93;21731039.7501;1456.2819;31646519856;344;0;N;737762.4317;0;9838.9955;9900.5918;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260101;192897870711;$$;S;1;B;0;569.5387;3874487.7358;1755.8068;6802851913;1207;0;N;242337.5999;0;2113.1513;2126.3806;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260101;192897870711;$$;S;1;G;0;970.7919;734503.1519;36015.0601;26453175159;19141;2;N;943446.7457;0;8226.7289;8278.2318;0;0;;
91999000;PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20260101;192897870711;$$;S;1;GLB;0;72627.0094;31950275.681;1264.7501;40409114363;20361;0;N;1553521.4799;0;12578.8916;12657.6409;0;0;;
